moves: 51056, loss: 1751.678466796875, accuracy: 0.65625, average_max_q: -6.491647853306494
moves: 51060, loss: 787.62060546875, accuracy: 0.5625, average_max_q: 1.0761098197661343
moves: 51064, loss: 371.8354797363281, accuracy: 0.46875, average_max_q: -3.8075610447674983
moves: 51068, loss: 346.5498962402344, accuracy: 0.4375, average_max_q: 7.260946831991896
moves: 51072, loss: 5.576632499694824, accuracy: 0.46875, average_max_q: -1.7845069247545324
moves: 51076, loss: 323.49298095703125, accuracy: 0.3125, average_max_q: -2.3365220137842697
moves: 51080, loss: 53.737430572509766, accuracy: 0.375, average_max_q: 5.066142018139363
moves: 51084, loss: 732.4937133789062, accuracy: 0.53125, average_max_q: -1.071758248889819
moves: 51088, loss: 444.1009216308594, accuracy: 0.53125, average_max_q: -3.263162079080939
moves: 51092, loss: 870.5184326171875, accuracy: 0.53125, average_max_q: -3.695012663863599
moves: 51096, loss: 1220.8828125, accuracy: 0.46875, average_max_q: 4.664283820660785
moves: 51100, loss: 2119.37939453125, accuracy: 0.53125, average_max_q: -1.3192824160680177
moves: 51104, loss: 1425.300048828125, accuracy: 0.59375, average_max_q: -3.3553535919170825
moves: 51108, loss: 1059.716552734375, accuracy: 0.5, average_max_q: 1.8386921317316591
moves: 51112, loss: 730.417724609375, accuracy: 0.53125, average_max_q: -3.0303553879261016
moves: 51116, loss: 1121.45068359375, accuracy: 0.4375, average_max_q: -3.5051759824156763
moves: 51120, loss: 1326.190673828125, accuracy: 0.53125, average_max_q: 5.68558378079906
moves: 51124, loss: 820.2973022460938, accuracy: 0.53125, average_max_q: -3.8093218723312017
moves: 51128, loss: 440.9087829589844, accuracy: 0.40625, average_max_q: -1.822940853447653
moves: 51132, loss: 405.9983825683594, accuracy: 0.375, average_max_q: 3.328390121459961
moves: 51136, loss: 836.64208984375, accuracy: 0.53125, average_max_q: -1.1883925169473517
moves: 51140, loss: 16.669654846191406, accuracy: 0.46875, average_max_q: -3.4806568041210992
moves: 51144, loss: 733.1445922851562, accuracy: 0.40625, average_max_q: 2.4582420445047326
moves: 51148, loss: 923.5143432617188, accuracy: 0.40625, average_max_q: 16.804023366421465
moves: 51152, loss: 46.45551300048828, accuracy: 0.46875, average_max_q: 0.3083104095421738
moves: 51156, loss: 645.99609375, accuracy: 0.34375, average_max_q: -4.586598406895064
moves: 51160, loss: 26.280624389648438, accuracy: 0.5625, average_max_q: -1.8352315509691832
moves: 51164, loss: 755.5654296875, accuracy: 0.5, average_max_q: -7.044930771831423
moves: 51168, loss: 531.3311157226562, accuracy: 0.53125, average_max_q: 6.514265160402283
moves: 51172, loss: 742.984130859375, accuracy: 0.5625, average_max_q: -3.9598383722826838
moves: 51176, loss: 1403.51513671875, accuracy: 0.53125, average_max_q: 1.546394094411517
moves: 51180, loss: 1044.7164306640625, accuracy: 0.46875, average_max_q: 7.219806149415673
moves: 51184, loss: 336.98333740234375, accuracy: 0.5, average_max_q: -4.82200809251517
moves: 51188, loss: 428.8975524902344, accuracy: 0.4375, average_max_q: 0.5516038020141427
moves: 51192, loss: 793.3206787109375, accuracy: 0.59375, average_max_q: 3.019414029270411
moves: 51196, loss: 782.8471069335938, accuracy: 0.5625, average_max_q: -3.0222390186972916
moves: 51200, loss: 1418.64208984375, accuracy: 0.53125, average_max_q: -3.9139788854634396
moves: 51204, loss: 1242.6075439453125, accuracy: 0.46875, average_max_q: 21.539574463292958
moves: 51208, loss: 354.5429992675781, accuracy: 0.40625, average_max_q: -7.455451778601855
moves: 51212, loss: 33.466400146484375, accuracy: 0.40625, average_max_q: -1.3967770437709985
moves: 51216, loss: 310.2066345214844, accuracy: 0.46875, average_max_q: -2.903148634929676
moves: 51220, loss: 643.66552734375, accuracy: 0.5625, average_max_q: 0.12314703860320231
moves: 51224, loss: 4.639972686767578, accuracy: 0.46875, average_max_q: -1.2912486084620465
moves: 51228, loss: 1799.4930419921875, accuracy: 0.4375, average_max_q: 10.450505596213043
moves: 51232, loss: 830.43896484375, accuracy: 0.34375, average_max_q: -0.15678284969180756
moves: 51236, loss: 385.6981201171875, accuracy: 0.5625, average_max_q: -5.080077197914942
moves: 51240, loss: 653.8705444335938, accuracy: 0.46875, average_max_q: -9.801714810170232
